,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
hyper_mu_sd,1.3202663236200767,0.42701980185775107,0.012062620485650686,0.7012600035995433,2.103439839374702,1127.2438397624035,1.0006273659759284
hyper_mu_mu,1.2307690977460652,0.31413140254893784,0.008266896769211997,0.7262281289568618,1.8608574083565588,1301.230794535825,1.0008710594802306
mu__0,1.0916666764968088,0.051245191814076274,0.0012391634076113543,0.9912667352822336,1.1897251416630799,2079.588264195343,0.9996470842675228
mu__1,0.13906712585562966,0.01813149745304889,0.00045663776945474463,0.10378305569155188,0.17360975002807627,1667.35067640447,1.0009469419896633
mu__2,0.0520975413122824,0.010997492201709107,0.00025275191856393933,0.03248694806165252,0.07472237792164746,1670.639582693216,1.000829350495261
mu__3,0.054937211754724234,0.011389365924203514,0.0002466181486499219,0.033494035843291955,0.07753836853142637,1918.0785478371922,0.999782842012599
mu__4,0.06941884618389892,0.01291754176062004,0.0002326894251053744,0.04560370313287528,0.0952722833016994,2429.9443026360414,0.9998818163481789
mu__5,0.04219296895512486,0.010069051561125999,0.0003038036559566397,0.023894749730820508,0.06255339342464879,1024.8817773448939,1.0099226584361005
mu__6,0.17481470891216286,0.020475531637504846,0.0005508147602270033,0.13722554124320174,0.2170453000183741,1380.8141145666625,0.9996764961511092
mu__7,0.3115644391803943,0.027061452323133988,0.0006251911191424494,0.25956014682724904,0.36344052322005443,2084.04909295029,1.0008965258435665
mu__8,1.0807311893838087,0.04949262655785493,0.0012072086576435923,0.9893536784766787,1.1852788746983804,1740.7549435652134,1.0036987465938483
mu__9,4.195338740094182,0.0996408819579962,0.002487006260715394,4.008128432881234,4.390009648342221,1498.403737860182,0.9997652128979715
mu__10,1.8408168228369077,0.06415710970596696,0.0018223603218960826,1.7192174755682363,1.9680791246142038,1280.268738162622,0.9998174121600896
mu__11,0.916500100948189,0.04652223755859022,0.0008321824443058279,0.8244435898521869,1.0074149750492811,2332.7256327546957,0.9995256972115001
mu__12,0.7091774471299285,0.04099408746044748,0.0008408717082997693,0.6247347406850144,0.7846927798497488,2301.9171078589798,0.9998991047793931
mu__13,1.3816209718264172,0.05984551340467213,0.001363116888949575,1.26679857120558,1.5026648873969395,1382.2567819635128,1.0014637539502018
mu__14,2.279060051568087,0.07442467677790525,0.0018724060856124668,2.131433570269389,2.4209232949557347,1277.360806136832,1.002870333144262
mu__15,1.0705444886149205,0.05083727163694365,0.001294358053674337,0.9772823830256411,1.1722538730103398,1491.233097237464,1.0000630939151316
mu__16,2.1634774220223454,0.07238691727637542,0.0021471326661746445,2.0250100746449897,2.302951160544152,930.8665987199983,1.0013006934020303
mu__17,1.256210883912912,0.05331792552090252,0.001348613338282601,1.1581911153974962,1.3633297123159918,1592.9133438474203,0.9997041516202656
mu__18,1.0347900387104128,0.05187685416056911,0.001262638955792592,0.9394346339909072,1.1402811127053671,1517.0449132524795,0.999882707444279
mu__19,1.7324794496228582,0.06315581914281677,0.0013265380029355623,1.6075414719443957,1.855228731955877,2058.3694702848657,0.9995679020464033
mu__20,1.5547435514166472,0.061042186036122874,0.0014289188486167606,1.4389388355944575,1.6787253181830613,1818.536280183293,1.0068315843198763
mu__21,1.058107069631541,0.0500096225769023,0.0012648236135627388,0.96036218627278,1.1540985736438132,1571.6747679251137,1.0002672597067468
mu__22,0.5064966326404762,0.034827020523793356,0.0009396377771972719,0.43770990135764054,0.5728264144011084,1273.1392777233232,1.0033553324617674
mu__23,0.6783714760556753,0.03972432958592139,0.0009838647598142604,0.6028166015340569,0.7587412981679184,1499.425133871638,1.0000340681699749
