Station Name,City,Postal Code,Address 1,Address 2,Location,Customer Category,Customer Subcategory,Model Number,Org Name,MAC Address,System S/N,Floor Label,State,County,Country ,Activation Status,Network Status,Station Status,Port 1 Status,Port 2 Status,No. of Ports,Pricing Policy Name,Reservations,Station Message,Enabled,Station Activation Type,Usable By,Visibility (Access Policy Name),EVSE ID,Radio Group Name,Software Version,Circuit Sharing,Currency Name,Power Select,Scheduled Charging Policy Name,Warranty,Station Activation Date,Warranty Expiration Date,Warranty Service,Waitlist Policy Name,Asset Tag ID,Meter ID,Service Delivery Point ID,Point of Service ID,Account ID,Circuit ID,Panel ID,Customer Name,Customer ID,Site ID,Site mode
FLEET / FLEET,Salt Lake City,84104,1990 W 500 S,,Workplace,Municipal,Municipal Fleet,CT4020-HD-GW,Salt Lake City Corporation,0024:B100:0002:1CE5,1.45141E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Inuse,Available,2,,Disabled,,Yes,Public,Salt Lake City Corporation,Salt Lake City Corporation,117511,SLCC,4.3.5.93,Enabled,U.S. Dollars (USD),40A,,Standard Warranty,4/21/2015 11:55,4/21/2016,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
FLEET / LIBRARY POOL,Salt Lake City,84111,261 E 500 S,,Public,Municipal,Municipal Fleet,CT4020-HD-GW,Salt Lake City Corporation,0024:B100:0002:559B,1.63641E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Available,2,,Disabled,,Yes,Public,Salt Lake City Corporation,Salt Lake City Corporation,117979,Library Pool 1,4.3.5.93,Enabled,U.S. Dollars (USD),40A,,Standard Warranty,4/21/2015 12:31,4/21/2016,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
FLEET / PSB-FIRE,Salt Lake City,84111,475 S 300 E,,Workplace,Municipal,Municipal Fleet,CT4020-HD-GW,Salt Lake City Corporation,0024:B100:0002:2402,1.51341E+11,2,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Inuse,2,,Disabled,,Yes,Public,Salt Lake City Corporation,Salt Lake City Corporation,121747,Fire Department,4.3.5.93,Enabled,U.S. Dollars (USD),40A,,Standard Warranty,8/17/2015 14:01,8/17/2016,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
UVU / PARKING SVCS 1,Orem,84058,936 S 400 W St,,,Education,University / College,CT4020-HD-GW,Utah Valley University,0024:B100:0003:3521,1.65041E+11,,Utah,Utah County,United States,Activated,Reachable,Available,Available,Available,2,,Disabled,,Yes,Public,All Drivers,All Drivers,121953,Parking Services,4.3.5.93,Disabled,,40A,,ChargePoint Assure,8/16/2015 18:31,8/16/2020,Parts & Labor,,,,,,,,,Utah Valley University,0014000001a7KtG,,
FLEET / PSB-FIRE 2,Salt Lake City,84111,475 300 E,,Workplace,Municipal,Municipal Fleet,CT4020-HD,Salt Lake City Corporation,0024:B100:0002:2449,1.51441E+11,2,Utah,Salt Lake County,United States,Activated,Reachable,Inuse,Inuse,Inuse,2,,Disabled,,Yes,Public,Salt Lake City Corporation,Salt Lake City Corporation,121987,Fire Department,4.3.5.93,Enabled,U.S. Dollars (USD),40A,,Standard Warranty,8/17/2015 14:11,8/17/2016,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
UVU / ADMIN LOT 1,Orem,84058,College Dr,,,Education,University / College,CT4020-HD-GW,Utah Valley University,0024:B100:0002:4908,1.61041E+11,,Utah,Utah County,United States,Activated,Reachable,Available,Available,Available,2,,Disabled,Hourly visitor parking rates apply while charging,Yes,Public,All Drivers,All Drivers,122183,Administration Lot,4.3.5.93,Disabled,,40A,,ChargePoint Assure,8/16/2015 18:34,8/16/2020,Parts & Labor,,,,,,,,,Utah Valley University,0014000001a7KtG,,
FLEET / PSB-FIRE NORTH,Salt Lake City,84111,475 300 E,,Workplace,Municipal,Municipal Workplace,CT4020-HD,Salt Lake City Corporation,0024:B100:0002:5CE6,1.64541E+11,2,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Available,2,,Disabled,,Yes,Public,Salt Lake City Corporation,Salt Lake City Corporation,176447,Fire Department,4.3.5.93,Disabled,U.S. Dollars (USD),40A,,Standard Warranty,2/28/2017 12:49,2/28/2018,,,,,,,,,,Salt Lake City Corporation,0014000001h6FiF,,
FLEET / SLC FACIL SERV,Salt Lake City,84111,212 E 600 S,,Workplace,Fleet,Distributed,CPGW,Salt Lake City Corporation,0024:B100:0003:3FE6,1.90141E+11,,Utah,,United States,Activated,Reachable,Available,,,,,Disabled,,Yes,Public,All Drivers,No Drivers,1821671,SLC Facility Services,4.3.5.70,Disabled,U.S. Dollars (USD),,,Standard Warranty,7/3/2019 23:19,7/3/2020,Parts Only,,,,,,,,,,,,
FLEET / SLC FACILITIES,Salt Lake City,84111,248 East 600 South,,Workplace,Municipal,Municipal Fleet,CT4020-HD-GW,Salt Lake City Corporation,0024:B100:0002:3957,1.54641E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Available,2,,Disabled,,Yes,Public,Salt Lake City Corporation,Salt Lake City Corporation,144179,Facilities,4.3.5.93,Enabled,U.S. Dollars (USD),40A,,Standard Warranty,4/21/2016 14:07,4/21/2017,,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
MAVERIK / MAVERIK #390 1,Washington,84780,980 Hoodoo way,,,Retail,Shopping Center,CPE200T-S-CHD-CMB,Maverik,000D:6F00:04FC:F0A9,43176,,Utah,,United States,Activated,Reachable,Available,Available,,1,Urban Sites DC Fast,Disabled,,Yes,Public,All Drivers,All Drivers,158471,Store 390,3.7.9.4-23874e35/v1.5.70000000000,Disabled,U.S. Dollars (USD),40A,,ChargePoint Assure,7/14/2017 11:35,7/14/2020,Parts & Labor,,,,,,,,,,,,
