Idx,Hour,DayCnt,DayYr,Connected
0,0,0,0,1
1,1,0,0,0
2,2,0,0,0
3,3,0,0,0
4,4,0,0,0
5,5,0,0,0
6,6,0,0,0
7,7,0,0,0
8,8,0,0,0
9,9,0,0,0
10,10,0,0,2
11,11,0,0,0
12,12,0,0,2
13,13,0,0,1
14,14,0,0,1
15,15,0,0,1
16,16,0,0,0
17,17,0,0,1
18,18,0,0,2
19,19,0,0,1
20,20,0,0,0
21,21,0,0,0
22,22,0,0,0
23,23,0,0,0
24,0,1,2,0
25,1,1,2,0
26,2,1,2,0
27,3,1,2,0
28,4,1,2,0
29,5,1,2,1
30,6,1,2,2
31,7,1,2,8
32,8,1,2,12
33,9,1,2,1
34,10,1,2,4
35,11,1,2,6
36,12,1,2,3
37,13,1,2,6
38,14,1,2,5
39,15,1,2,3
40,16,1,2,2
41,17,1,2,2
42,18,1,2,1
43,19,1,2,1
44,20,1,2,0
45,21,1,2,0
46,22,1,2,0
47,23,1,2,1
48,0,2,23,0
49,1,2,23,0
50,2,2,23,0
51,3,2,23,0
52,4,2,23,0
53,5,2,23,0
54,6,2,23,2
55,7,2,23,13
56,8,2,23,9
57,9,2,23,5
58,10,2,23,2
59,11,2,23,4
60,12,2,23,3
61,13,2,23,12
62,14,2,23,1
63,15,2,23,4
64,16,2,23,1
65,17,2,23,1
66,18,2,23,1
67,19,2,23,2
68,20,2,23,1
69,21,2,23,1
70,22,2,23,0
71,23,2,23,0
72,0,3,28,0
73,1,3,28,0
74,2,3,28,0
75,3,3,28,0
76,4,3,28,0
77,5,3,28,3
78,6,3,28,2
79,7,3,28,6
80,8,3,28,12
81,9,3,28,6
82,10,3,28,2
83,11,3,28,4
84,12,3,28,4
85,13,3,28,5
86,14,3,28,2
87,15,3,28,3
88,16,3,28,1
89,17,3,28,2
90,18,3,28,3
91,19,3,28,2
92,20,3,28,1
93,21,3,28,0
94,22,3,28,0
95,23,3,28,0
96,0,4,30,0
97,1,4,30,0
98,2,4,30,0
99,3,4,30,0
100,4,4,30,0
101,5,4,30,1
102,6,4,30,2
103,7,4,30,13
104,8,4,30,7
105,9,4,30,3
106,10,4,30,5
107,11,4,30,1
108,12,4,30,8
109,13,4,30,6
110,14,4,30,3
111,15,4,30,1
112,16,4,30,1
113,17,4,30,5
114,18,4,30,2
115,19,4,30,1
116,20,4,30,1
117,21,4,30,1
118,22,4,30,2
119,23,4,30,0
120,0,5,36,0
121,1,5,36,0
122,2,5,36,0
123,3,5,36,0
124,4,5,36,0
125,5,5,36,0
126,6,5,36,0
127,7,5,36,5
128,8,5,36,11
129,9,5,36,3
130,10,5,36,2
131,11,5,36,1
132,12,5,36,6
133,13,5,36,5
134,14,5,36,5
135,15,5,36,0
136,16,5,36,3
137,17,5,36,0
138,18,5,36,1
139,19,5,36,1
140,20,5,36,4
141,21,5,36,0
142,22,5,36,0
143,23,5,36,0
144,0,6,38,0
145,1,6,38,0
146,2,6,38,0
147,3,6,38,0
148,4,6,38,1
149,5,6,38,0
150,6,6,38,2
151,7,6,38,11
152,8,6,38,7
153,9,6,38,4
154,10,6,38,3
155,11,6,38,5
156,12,6,38,6
157,13,6,38,7
158,14,6,38,4
159,15,6,38,3
160,16,6,38,1
161,17,6,38,1
162,18,6,38,1
163,19,6,38,2
164,20,6,38,1
165,21,6,38,1
166,22,6,38,0
167,23,6,38,0
168,0,7,40,0
169,1,7,40,0
170,2,7,40,0
171,3,7,40,0
172,4,7,40,0
173,5,7,40,1
174,6,7,40,4
175,7,7,40,12
176,8,7,40,6
177,9,7,40,3
178,10,7,40,2
179,11,7,40,5
180,12,7,40,6
181,13,7,40,5
182,14,7,40,6
183,15,7,40,6
184,16,7,40,2
185,17,7,40,1
186,18,7,40,3
187,19,7,40,0
188,20,7,40,1
189,21,7,40,1
190,22,7,40,0
191,23,7,40,0
192,0,8,43,0
193,1,8,43,0
194,2,8,43,0
195,3,8,43,0
196,4,8,43,0
197,5,8,43,1
198,6,8,43,4
199,7,8,43,15
200,8,8,43,7
201,9,8,43,3
202,10,8,43,4
203,11,8,43,9
204,12,8,43,7
205,13,8,43,7
206,14,8,43,4
207,15,8,43,2
208,16,8,43,3
209,17,8,43,1
210,18,8,43,6
211,19,8,43,1
212,20,8,43,0
213,21,8,43,2
214,22,8,43,0
215,23,8,43,0
216,0,9,44,0
217,1,9,44,0
218,2,9,44,0
219,3,9,44,0
220,4,9,44,0
221,5,9,44,1
222,6,9,44,2
223,7,9,44,12
224,8,9,44,11
225,9,9,44,5
226,10,9,44,5
227,11,9,44,5
228,12,9,44,5
229,13,9,44,8
230,14,9,44,3
231,15,9,44,3
232,16,9,44,2
233,17,9,44,2
234,18,9,44,6
235,19,9,44,1
236,20,9,44,0
237,21,9,44,0
238,22,9,44,0
239,23,9,44,0
240,0,10,46,0
241,1,10,46,0
242,2,10,46,0
243,3,10,46,0
244,4,10,46,0
245,5,10,46,0
246,6,10,46,5
247,7,10,46,9
248,8,10,46,11
249,9,10,46,3
250,10,10,46,5
251,11,10,46,7
252,12,10,46,6
253,13,10,46,6
254,14,10,46,4
255,15,10,46,4
256,16,10,46,2
257,17,10,46,4
258,18,10,46,1
259,19,10,46,5
260,20,10,46,0
261,21,10,46,1
262,22,10,46,0
263,23,10,46,0
264,0,11,47,0
265,1,11,47,0
266,2,11,47,0
267,3,11,47,0
268,4,11,47,0
269,5,11,47,2
270,6,11,47,5
271,7,11,47,7
272,8,11,47,11
273,9,11,47,4
274,10,11,47,5
275,11,11,47,4
276,12,11,47,12
277,13,11,47,4
278,14,11,47,5
279,15,11,47,1
280,16,11,47,2
281,17,11,47,4
282,18,11,47,1
283,19,11,47,1
284,20,11,47,0
285,21,11,47,0
286,22,11,47,0
287,23,11,47,0
288,0,12,52,0
289,1,12,52,0
290,2,12,52,0
291,3,12,52,0
292,4,12,52,0
293,5,12,52,1
294,6,12,52,2
295,7,12,52,7
296,8,12,52,12
297,9,12,52,7
298,10,12,52,4
299,11,12,52,3
300,12,12,52,6
301,13,12,52,11
302,14,12,52,6
303,15,12,52,4
304,16,12,52,1
305,17,12,52,2
306,18,12,52,1
307,19,12,52,0
308,20,12,52,0
309,21,12,52,0
310,22,12,52,0
311,23,12,52,0
312,0,13,55,0
313,1,13,55,0
314,2,13,55,0
315,3,13,55,0
316,4,13,55,0
317,5,13,55,2
318,6,13,55,3
319,7,13,55,10
