,Hour,DayCnt,DayYr,Connected
0,0.0,0.0,0.0,1.0
1,1.0,0.0,0.0,0.0
2,2.0,0.0,0.0,0.0
3,3.0,0.0,0.0,0.0
4,4.0,0.0,0.0,0.0
5,5.0,0.0,0.0,0.0
6,6.0,0.0,0.0,0.0
7,7.0,0.0,0.0,0.0
8,8.0,0.0,0.0,0.0
9,9.0,0.0,0.0,0.0
10,10.0,0.0,0.0,2.0
11,11.0,0.0,0.0,0.0
12,12.0,0.0,0.0,2.0
13,13.0,0.0,0.0,1.0
14,14.0,0.0,0.0,1.0
15,15.0,0.0,0.0,1.0
16,16.0,0.0,0.0,0.0
17,17.0,0.0,0.0,1.0
18,18.0,0.0,0.0,2.0
19,19.0,0.0,0.0,1.0
20,20.0,0.0,0.0,0.0
21,21.0,0.0,0.0,0.0
22,22.0,0.0,0.0,0.0
23,23.0,0.0,0.0,0.0
24,0.0,1.0,2.0,0.0
25,1.0,1.0,2.0,0.0
26,2.0,1.0,2.0,0.0
27,3.0,1.0,2.0,0.0
28,4.0,1.0,2.0,0.0
29,5.0,1.0,2.0,1.0
30,6.0,1.0,2.0,2.0
31,7.0,1.0,2.0,8.0
32,8.0,1.0,2.0,12.0
33,9.0,1.0,2.0,1.0
34,10.0,1.0,2.0,4.0
35,11.0,1.0,2.0,6.0
36,12.0,1.0,2.0,3.0
37,13.0,1.0,2.0,6.0
38,14.0,1.0,2.0,5.0
39,15.0,1.0,2.0,3.0
40,16.0,1.0,2.0,2.0
41,17.0,1.0,2.0,2.0
42,18.0,1.0,2.0,1.0
43,19.0,1.0,2.0,1.0
44,20.0,1.0,2.0,0.0
45,21.0,1.0,2.0,0.0
46,22.0,1.0,2.0,0.0
47,23.0,1.0,2.0,1.0
48,0.0,2.0,23.0,0.0
49,1.0,2.0,23.0,0.0
50,2.0,2.0,23.0,0.0
51,3.0,2.0,23.0,0.0
52,4.0,2.0,23.0,0.0
53,5.0,2.0,23.0,0.0
54,6.0,2.0,23.0,2.0
55,7.0,2.0,23.0,13.0
56,8.0,2.0,23.0,9.0
57,9.0,2.0,23.0,5.0
58,10.0,2.0,23.0,2.0
59,11.0,2.0,23.0,4.0
60,12.0,2.0,23.0,3.0
61,13.0,2.0,23.0,12.0
62,14.0,2.0,23.0,1.0
63,15.0,2.0,23.0,4.0
64,16.0,2.0,23.0,1.0
65,17.0,2.0,23.0,1.0
66,18.0,2.0,23.0,1.0
67,19.0,2.0,23.0,2.0
68,20.0,2.0,23.0,1.0
69,21.0,2.0,23.0,1.0
70,22.0,2.0,23.0,0.0
71,23.0,2.0,23.0,0.0
72,0.0,3.0,28.0,0.0
73,1.0,3.0,28.0,0.0
74,2.0,3.0,28.0,0.0
75,3.0,3.0,28.0,0.0
76,4.0,3.0,28.0,0.0
77,5.0,3.0,28.0,3.0
78,6.0,3.0,28.0,2.0
79,7.0,3.0,28.0,6.0
80,8.0,3.0,28.0,12.0
81,9.0,3.0,28.0,6.0
82,10.0,3.0,28.0,2.0
83,11.0,3.0,28.0,4.0
84,12.0,3.0,28.0,4.0
85,13.0,3.0,28.0,5.0
86,14.0,3.0,28.0,2.0
87,15.0,3.0,28.0,3.0
88,16.0,3.0,28.0,1.0
89,17.0,3.0,28.0,2.0
90,18.0,3.0,28.0,3.0
91,19.0,3.0,28.0,2.0
92,20.0,3.0,28.0,1.0
93,21.0,3.0,28.0,0.0
94,22.0,3.0,28.0,0.0
95,23.0,3.0,28.0,0.0
96,0.0,4.0,30.0,0.0
97,1.0,4.0,30.0,0.0
98,2.0,4.0,30.0,0.0
99,3.0,4.0,30.0,0.0
100,4.0,4.0,30.0,0.0
101,5.0,4.0,30.0,1.0
102,6.0,4.0,30.0,2.0
103,7.0,4.0,30.0,13.0
104,8.0,4.0,30.0,7.0
105,9.0,4.0,30.0,3.0
106,10.0,4.0,30.0,5.0
107,11.0,4.0,30.0,1.0
108,12.0,4.0,30.0,8.0
109,13.0,4.0,30.0,6.0
110,14.0,4.0,30.0,3.0
111,15.0,4.0,30.0,1.0
112,16.0,4.0,30.0,1.0
113,17.0,4.0,30.0,5.0
114,18.0,4.0,30.0,2.0
115,19.0,4.0,30.0,1.0
116,20.0,4.0,30.0,1.0
117,21.0,4.0,30.0,1.0
118,22.0,4.0,30.0,2.0
119,23.0,4.0,30.0,0.0
120,0.0,5.0,36.0,0.0
121,1.0,5.0,36.0,0.0
122,2.0,5.0,36.0,0.0
123,3.0,5.0,36.0,0.0
124,4.0,5.0,36.0,0.0
125,5.0,5.0,36.0,0.0
126,6.0,5.0,36.0,0.0
127,7.0,5.0,36.0,5.0
128,8.0,5.0,36.0,11.0
129,9.0,5.0,36.0,3.0
130,10.0,5.0,36.0,2.0
131,11.0,5.0,36.0,1.0
132,12.0,5.0,36.0,6.0
133,13.0,5.0,36.0,5.0
134,14.0,5.0,36.0,5.0
135,15.0,5.0,36.0,0.0
136,16.0,5.0,36.0,3.0
137,17.0,5.0,36.0,0.0
138,18.0,5.0,36.0,1.0
139,19.0,5.0,36.0,1.0
140,20.0,5.0,36.0,4.0
141,21.0,5.0,36.0,0.0
142,22.0,5.0,36.0,0.0
143,23.0,5.0,36.0,0.0
144,0.0,6.0,38.0,0.0
145,1.0,6.0,38.0,0.0
146,2.0,6.0,38.0,0.0
147,3.0,6.0,38.0,0.0
148,4.0,6.0,38.0,1.0
149,5.0,6.0,38.0,0.0
150,6.0,6.0,38.0,2.0
151,7.0,6.0,38.0,11.0
152,8.0,6.0,38.0,7.0
153,9.0,6.0,38.0,4.0
154,10.0,6.0,38.0,3.0
155,11.0,6.0,38.0,5.0
156,12.0,6.0,38.0,6.0
157,13.0,6.0,38.0,7.0
158,14.0,6.0,38.0,4.0
159,15.0,6.0,38.0,3.0
160,16.0,6.0,38.0,1.0
161,17.0,6.0,38.0,1.0
162,18.0,6.0,38.0,1.0
163,19.0,6.0,38.0,2.0
164,20.0,6.0,38.0,1.0
165,21.0,6.0,38.0,1.0
166,22.0,6.0,38.0,0.0
167,23.0,6.0,38.0,0.0
168,0.0,7.0,40.0,0.0
169,1.0,7.0,40.0,0.0
170,2.0,7.0,40.0,0.0
171,3.0,7.0,40.0,0.0
172,4.0,7.0,40.0,0.0
173,5.0,7.0,40.0,1.0
174,6.0,7.0,40.0,4.0
175,7.0,7.0,40.0,12.0
176,8.0,7.0,40.0,6.0
177,9.0,7.0,40.0,3.0
178,10.0,7.0,40.0,2.0
179,11.0,7.0,40.0,5.0
180,12.0,7.0,40.0,6.0
181,13.0,7.0,40.0,5.0
182,14.0,7.0,40.0,6.0
183,15.0,7.0,40.0,6.0
184,16.0,7.0,40.0,2.0
185,17.0,7.0,40.0,1.0
186,18.0,7.0,40.0,3.0
187,19.0,7.0,40.0,0.0
188,20.0,7.0,40.0,1.0
189,21.0,7.0,40.0,1.0
190,22.0,7.0,40.0,0.0
191,23.0,7.0,40.0,0.0
192,0.0,8.0,43.0,0.0
193,1.0,8.0,43.0,0.0
194,2.0,8.0,43.0,0.0
195,3.0,8.0,43.0,0.0
196,4.0,8.0,43.0,0.0
197,5.0,8.0,43.0,1.0
198,6.0,8.0,43.0,4.0
199,7.0,8.0,43.0,15.0
200,8.0,8.0,43.0,7.0
201,9.0,8.0,43.0,3.0
202,10.0,8.0,43.0,4.0
203,11.0,8.0,43.0,9.0
204,12.0,8.0,43.0,7.0
205,13.0,8.0,43.0,7.0
206,14.0,8.0,43.0,4.0
207,15.0,8.0,43.0,2.0
208,16.0,8.0,43.0,3.0
209,17.0,8.0,43.0,1.0
210,18.0,8.0,43.0,6.0
211,19.0,8.0,43.0,1.0
212,20.0,8.0,43.0,0.0
213,21.0,8.0,43.0,2.0
214,22.0,8.0,43.0,0.0
215,23.0,8.0,43.0,0.0
216,0.0,9.0,44.0,0.0
217,1.0,9.0,44.0,0.0
218,2.0,9.0,44.0,0.0
219,3.0,9.0,44.0,0.0
220,4.0,9.0,44.0,0.0
221,5.0,9.0,44.0,1.0
222,6.0,9.0,44.0,2.0
223,7.0,9.0,44.0,12.0
224,8.0,9.0,44.0,11.0
225,9.0,9.0,44.0,5.0
226,10.0,9.0,44.0,5.0
227,11.0,9.0,44.0,5.0
228,12.0,9.0,44.0,5.0
229,13.0,9.0,44.0,8.0
