,Start Date,Start Time Zone,End Date,End Time Zone,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),GHG Savings (kg),Gasoline Savings (gallons),Port Type,Port Number,Plug Type,EVSE ID,Fee,Ended By,Plug In Event Id,Start SOC,End SOC
0,2017-07-21 15:58:05,,2017-07-21 16:39:13,,0 days 00:41:07.000000000,0 days 00:41:00.000000000,24.112,,,DC Fast,1,,158787,,Plug Out at Station,4,,
1,2017-08-07 11:26:28,,2017-08-07 12:55:32,,0 days 01:29:03.000000000,0 days 01:28:56.000000000,19.47,,,DC Fast,1,,158787,,Customer,5,,
2,2017-08-07 12:57:49,,2017-08-07 13:00:35,,0 days 00:02:42.000000000,0 days 00:00:27.000000000,0.0,,,DC Fast,1,,158787,,Customer,6,,
3,2017-08-07 13:02:26,,2017-08-07 13:02:46,,0 days 00:00:20.000000000,0 days 00:00:00.000000000,0.0,,,DC Fast,1,,158787,,Customer,7,,
4,2017-08-07 13:02:49,,2017-08-07 13:03:59,,0 days 00:01:10.000000000,0 days 00:00:00.000000000,0.0,,,DC Fast,1,,158787,,Customer,8,,
5,2017-08-07 13:05:21,,2017-08-07 13:05:58,,0 days 00:00:36.000000000,0 days 00:00:00.000000000,0.0,,,DC Fast,1,,158787,,Customer,9,,
6,2017-08-07 13:07:06,,2017-08-07 13:09:33,,0 days 00:02:27.000000000,0 days 00:00:00.000000000,0.0,,,DC Fast,1,,158787,,Plug Out at Station,10,,
7,2017-08-07 13:11:21,,2017-08-07 13:13:33,,0 days 00:02:12.000000000,0 days 00:01:32.000000000,0.10800000000000001,,,DC Fast,1,,158787,,Customer,11,,
8,2017-08-07 13:13:40,,2017-08-07 13:14:01,,0 days 00:00:21.000000000,0 days 00:00:00.000000000,0.0,,,,0,,158787,,Customer,12,,
9,2017-08-07 13:14:11,,2017-08-07 13:14:47,,0 days 00:00:33.000000000,0 days 00:00:00.000000000,0.0,,,DC Fast,1,,158787,,Customer,13,,
