Idx,Hour,DayCnt,DayYr,Connected
0,0,0,1,0
1,1,0,1,0
2,2,0,1,0
3,3,0,1,0
4,4,0,1,0
5,5,0,1,2
6,6,0,1,1
7,7,0,1,8
8,8,0,1,12
9,9,0,1,5
10,10,0,1,1
11,11,0,1,3
12,12,0,1,7
13,13,0,1,5
14,14,0,1,1
15,15,0,1,1
16,16,0,1,2
17,17,0,1,0
18,18,0,1,1
19,19,0,1,1
20,20,0,1,0
21,21,0,1,1
22,22,0,1,0
23,23,0,1,0
24,0,1,3,0
25,1,1,3,0
26,2,1,3,0
27,3,1,3,0
28,4,1,3,0
29,5,1,3,0
30,6,1,3,2
31,7,1,3,12
32,8,1,3,12
33,9,1,3,4
34,10,1,3,2
35,11,1,3,4
36,12,1,3,8
37,13,1,3,4
38,14,1,3,2
39,15,1,3,2
40,16,1,3,3
41,17,1,3,3
42,18,1,3,2
43,19,1,3,4
44,20,1,3,1
45,21,1,3,0
46,22,1,3,0
47,23,1,3,0
48,0,2,4,0
49,1,2,4,0
50,2,2,4,0
51,3,2,4,0
52,4,2,4,1
53,5,2,4,0
54,6,2,4,0
55,7,2,4,7
56,8,2,4,11
57,9,2,4,4
58,10,2,4,8
59,11,2,4,1
60,12,2,4,6
61,13,2,4,4
62,14,2,4,4
63,15,2,4,4
64,16,2,4,3
65,17,2,4,2
66,18,2,4,2
67,19,2,4,1
68,20,2,4,0
69,21,2,4,1
70,22,2,4,1
71,23,2,4,0
72,0,3,5,0
73,1,3,5,0
74,2,3,5,0
75,3,3,5,0
76,4,3,5,0
77,5,3,5,2
78,6,3,5,3
79,7,3,5,10
80,8,3,5,10
81,9,3,5,4
82,10,3,5,1
83,11,3,5,2
84,12,3,5,5
85,13,3,5,2
86,14,3,5,4
87,15,3,5,1
88,16,3,5,4
89,17,3,5,3
90,18,3,5,1
91,19,3,5,1
92,20,3,5,1
93,21,3,5,1
94,22,3,5,0
95,23,3,5,0
96,0,4,6,0
97,1,4,6,0
98,2,4,6,0
99,3,4,6,0
100,4,4,6,0
101,5,4,6,2
102,6,4,6,1
