,alpha,alpha_log__,hyper_alpha_mu,hyper_alpha_mu_interval__,hyper_alpha_sd,hyper_alpha_sd_interval__,hyper_mu_mu,hyper_mu_mu_interval__,hyper_mu_sd,hyper_mu_sd_interval__,mu,mu_log__,y_pred
0,"[  0.55956347   0.3314011    0.33623102   0.34607179   0.32729001
   1.28842647   8.70727862  84.25132169 187.81113182   9.18387519
  10.08105213  22.06225898  64.37688995  92.00565794  15.83787231
  14.26561242   4.7872321    2.18110203   3.60310659   3.03432473
   0.93218258   0.96327501   1.10697163   0.78897849]","[-0.58059832 -1.10442586 -1.08995679 -1.06110905 -1.11690863  0.25342169
  2.1641593   4.43380426  5.23543684  2.21744925  2.31065763  3.09386841
  4.16475472  4.52185007  2.76240405  2.65785192  1.56595239  0.77983027
  1.28179641  1.10998891 -0.07022658 -0.03741633  0.10162802 -0.23701622]",12.122566821398637,0.43106663011267343,17.471978534011146,1.9331614034264368,6.376827270366006,-0.7591015393496268,1.3516654178045748,-2.624419368604194,"[4.68062707 4.3768336  3.5663681  4.76257269 4.788169   5.30839133
 6.41188905 8.99121855 9.82291219 7.19120836 6.86712252 7.29378068
 8.64251733 7.92549577 7.83528345 7.15097101 6.99259779 6.85514007
 7.1555317  7.47866696 5.40874727 7.57870547 5.55771239 6.04513099]","[1.54343209 1.47632554 1.27154774 1.560788   1.56614808 1.66928884
 1.85815393 2.19624838 2.28471764 1.97285922 1.92674517 1.98702202
 2.1566939  2.07008488 2.05863705 1.96724815 1.94485213 1.92499875
 1.96788572 2.01205456 1.68801751 2.0253424  1.71518658 1.79925315]",[10 10 10 ... 10 10 10]
1,"[ 0.30083684  0.30677219  0.27438445  0.29298943  0.34991796  0.99858946
  5.5897277  32.06293113 27.61099663 23.97430519  5.43350961 30.93119849
 92.6476318  27.63394171 54.60628189  9.76880704  4.53379616  5.62714086
  3.01648007  2.35905956  1.50580893  0.61861617  0.94163564  0.82910917]","[-1.20118721e+00 -1.18164985e+00 -1.29322504e+00 -1.22761873e+00
 -1.05005655e+00 -1.41153677e-03  1.72093057e+00  3.46770057e+00
  3.31821412e+00  3.17698264e+00  1.69258526e+00  3.43176533e+00
  4.52880339e+00  3.31904479e+00  4.00014893e+00  2.27919435e+00
  1.51155959e+00  1.72760147e+00  1.10409061e+00  8.58263047e-01
  4.09330249e-01 -4.80270275e-01 -6.01368763e-02 -1.87403444e-01]",12.105367838431114,0.42746592193463645,18.037439885952125,2.2181997898010186,7.422845200943843,-0.5273196231528318,1.0908552371664284,-2.8526836450930415,"[7.04861884 6.86220307 7.25678863 6.03142517 5.88833198 5.46940913
 6.66241862 8.4000705  9.23592582 7.16082253 6.68351171 7.17722985
 8.02447933 7.56898587 7.79203033 7.69832308 7.13850057 6.21687703
 5.81304348 6.11918026 5.77855864 7.93337359 5.7771269  6.55208498]","[1.95283169 1.92602854 1.98193739 1.79698333 1.77297276 1.69917059
 1.89648258 2.1282401  2.22310086 1.96862485 1.89964355 1.97091349
 2.08249679 2.02405909 2.05310146 2.04100252 1.96550275 1.8272677
 1.76010427 1.81142814 1.75415428 2.07107837 1.75390648 1.87978332]",[10 10 10 ... 10 10 10]
2,"[ 0.32518697  0.44194481  0.35772775  0.3615254   0.39947039  1.10482918
  7.00798319 48.24219402 67.48304934 35.12135592  4.83191636 24.87939415
 92.56056251 19.86152852 61.48420394 25.18087656  8.6470102   4.34678706
  3.33837384  2.4379056   1.28306678  0.75251317  0.92936355  0.89007261]","[-1.12335496 -0.81657028 -1.02798306 -1.01742298 -0.91761563  0.09969074
  1.94704995  3.87623403  4.21187645  3.55880938  1.57524315  3.21403992
  4.52786316  2.98878462  4.1187803   3.22608484  2.15721362  1.46943696
  1.20548381  0.89113931  0.24925313 -0.28433678 -0.07325528 -0.11645223]",11.585703399920712,0.31983963714902425,17.97219272887471,2.1818706677406148,6.626459977564295,-0.7022074080574424,1.2838497070441575,-2.679523655329291,"[5.12525692 5.35348633 5.38379974 5.50785242 5.66652606 6.14586032
 6.59126604 9.18910159 9.51434958 7.62048875 6.27670614 7.21044383
 8.59687267 8.09532707 7.30908534 7.63827651 7.03130161 6.28764028
 6.51169121 6.16846452 5.67742039 4.72691342 6.05630849 4.91207569]","[1.63418066 1.677748   1.6833944  1.70617479 1.73457624 1.81577874
 1.88574544 2.21801817 2.25280114 2.03084051 1.83684534 1.97553051
 2.15139849 2.09128699 1.98911814 2.03317199 1.95037184 1.83858585
 1.87359921 1.81944995 1.73649697 1.55327244 1.80110046 1.5916966 ]",[10 10 10 ... 10 10 10]
3,"[  0.45943677   0.24646845   0.34948619   0.2810061    0.31454043
   1.1652911    3.72051763 100.44554603  94.98440243   8.76413279
  12.97886954   6.16129343  48.8244841  158.85135736  27.7933597
  10.37810619   3.32047301   3.38906367   3.63838931   2.69702415
   0.97937452   0.77226898   1.09182363   0.70543924]","[-0.77775396 -1.40052129 -1.05129122 -1.26937891 -1.15664265  0.15297093
  1.31386281  4.60961575  4.55371269  2.17066757  2.56332262  1.81828673
  3.88823191  5.06796891  3.32479713  2.33969841  1.20010725  1.22055368
  1.29154109  0.992149   -0.02084116 -0.25842237  0.08784935 -0.34893464]",12.010651195237864,0.40768460053212763,18.183201752109873,2.3034224398051495,6.672544505054815,-0.6918249581727922,0.8055234625706396,-3.170885506134322,"[5.74376989 6.27350416 6.00910019 6.91980726 6.17504817 5.84703104
 6.91996464 8.79192133 9.31527828 7.53789227 7.1760976  6.93769178
 8.52928546 7.96594036 7.64499608 7.65817222 6.11294333 6.69145381
 6.48494465 6.29096884 7.29201957 5.45611295 5.46792101 5.86420659]","[1.74811577 1.83633508 1.79327502 1.93438792 1.82051668 1.76593402
 1.93441066 2.17383327 2.23165588 2.0199426  1.97075573 1.93696912
 2.14350559 2.075175   2.03405133 2.03577334 1.81040838 1.90083116
 1.86948328 1.83911509 1.98678054 1.69673662 1.69889847 1.76886719]",[10 10 10 ... 10 10 10]
4,"[ 0.45776567  0.39350223  0.34492069  0.36000832  0.38202015  1.24294208
  5.30545162 27.53474873 56.69552244 14.72594853  7.96485058  8.90502466
 89.95953874 89.99637435 45.77066044 10.09844663  4.13212236  3.26733734
  4.32949883  2.32992644  0.86253454  0.74539386  1.02429871  0.73586906]","[-0.78139786 -0.93266855 -1.06444077 -1.02162813 -0.96228192  0.21748122
  1.6687349   3.3154488   4.03769524  2.68961114  2.07503818  2.18661569
  4.49936     4.49976938  3.82364328  2.31238161  1.41879116  1.18397538
  1.46545179  0.8458367  -0.14788008 -0.29384253  0.02400819 -0.30670308]",12.547944269567752,0.5210669176402514,18.12340927433654,2.2677477459486686,6.997713037953704,-0.6195418753362187,1.1009856216982588,-2.842903973065601,"[6.36069793 6.15449205 6.44489063 5.79371427 6.14380344 6.17139848
 6.83490556 8.86654825 9.35119723 6.59572512 7.04428152 6.64051577
 8.35436537 7.78533335 7.31201106 7.86622712 6.47971065 6.27182987
 6.7922058  5.93590834 5.12234687 6.86398925 6.43035637 6.38550638]","[1.85013811 1.81718223 1.86328767 1.75677358 1.815444   1.81992547
 1.92204265 2.18228557 2.23550438 1.88642173 1.95221616 1.89318964
 2.1227842  2.05224162 1.98951835 2.06257855 1.86867586 1.83606816
 1.91577575 1.78102006 1.63361271 1.9262888  1.86102996 1.85403079]",[10 10 10 ... 10 10 10]
5,"[  0.4679066    0.54267029   0.32596082   0.32481175   0.40151077
   1.21410725   5.85064723  21.19736363  53.98782262  11.6419478
   5.72490308   5.44321372  43.787631   122.97590843  28.98405802
  12.99911301   3.76509049   4.77720693   3.51794874   2.8084681
   1.1138032    0.76901282   0.95344738   0.68721888]","[-0.75948657 -0.61125334 -1.12097809 -1.12450948 -0.91252091  0.19400904
  1.76655229  3.05387682  3.98875851  2.45461477  1.74482562  1.69436964
  3.77935138  4.81198847  3.36674596  2.56488112  1.3257719   1.56385605
  1.25787808  1.03263918  0.10778046 -0.26264764 -0.04767104 -0.37510243]",12.737978350327587,0.561929698119604,18.141930607133084,2.2786878793545506,6.859731799806294,-0.6500130790864426,1.2055885288434594,-2.746591710081617,"[6.14412534 5.81881794 4.33846954 5.75184681 7.30532969 5.42915154
 7.08953964 8.48321098 9.56373538 6.58288957 7.02309327 7.1741536
 8.03453614 7.88856588 7.19775233 7.83269214 6.74852794 6.69891146
 6.50866219 6.15073361 6.57846176 5.9454402  5.57003069 5.38559609]","[1.8154964  1.76109714 1.46752165 1.74952099 1.98860418 1.69178287
 1.95862041 2.13808903 2.25797838 1.88447379 1.94920376 1.97048479
 2.08374927 2.06541435 1.9737688  2.05830628 1.9093244  1.90194505
 1.87313393 1.81657136 1.88380094 1.78262457 1.71740056 1.683728  ]",[10 10 10 ... 10 10 10]
6,"[  0.36519993   0.33939954   0.28969291   0.40556463   0.36677519
   1.22255295   5.17796855  22.97692669  46.62949652  10.98883333
   5.97986795   6.13366951  33.15040803 110.45197824  45.95319568
  12.43740719   3.07807986   4.26905976   3.06874863   2.51490402
   0.96956713   0.99697576   0.93688999   0.79813595]","[-1.00731032e+00 -1.08057729e+00 -1.23893385e+00 -9.02475026e-01
 -1.00300618e+00  2.00941255e-01  1.64441281e+00  3.13449053e+00
  3.84223331e+00  2.39687961e+00  1.78839849e+00  1.81379319e+00
  3.50105503e+00  4.70458084e+00  3.82762339e+00  2.52070864e+00
  1.12430598e+00  1.45139361e+00  1.12126987e+00  9.22234639e-01
 -3.09055671e-02 -3.02882569e-03 -6.51894096e-02 -2.25476338e-01]",12.626185423562465,0.537837711780946,18.05015207281033,2.225402726351839,6.35639489227478,-0.7638095457788424,1.4006350234220024,-2.586201717152369,"[5.36425977 6.05179162 4.39608126 4.6606726  5.58281788 5.41470008
 6.33854198 8.77683765 9.49867681 7.5833093  6.55096148 7.35415745
 8.12625736 7.84796695 7.53190073 7.37540331 6.50886407 6.33562592
 6.76045058 6.19138602 5.57408899 4.89363139 5.18312038 5.64658237]","[1.67975839 1.80035436 1.48071352 1.53915977 1.71969364 1.68911749
 1.84664877 2.17211617 2.25115251 2.02594969 1.87961183 1.99526579
 2.09510047 2.06025451 2.01914743 1.99815059 1.87316495 1.84618861
 1.91108954 1.82315897 1.71812889 1.58793464 1.64540726 1.73105047]",[10 10 10 ... 10 10 10]
7,"[  0.39750119   0.31647078   0.31965898   0.25335907   0.29146604
   1.058772     3.94277008  82.1424935  131.33457926  20.42610273
  11.86653131  27.43199644  83.26659008  47.82780359  34.94922569
  11.34536843   6.18018218   2.88085391   4.08102101   2.54968613
   1.34775728   0.58376129   1.06259474   0.78175445]","[-0.92255736 -1.15052436 -1.14050054 -1.37294756 -1.23283177  0.05710974
  1.37188354  4.40845546  4.87774811  3.01681363  2.47372194  3.31171009
  4.42204739  3.86760714  3.55389631  2.42880959  1.82134775  1.05808675
  1.4063472   0.93597027  0.29844194 -0.53826312  0.06071379 -0.24621459]",10.435196824133069,0.0870943771267088,17.534512245166745,1.9617814070688053,6.58321986732573,-0.7119822050668723,0.9585917679411977,-2.98890596827427,"[5.66748075 6.84569265 5.82844656 5.78593946 6.76629278 5.95880594
 7.53506087 8.76417447 9.77261987 7.2722539  7.15277741 7.04081043
 8.51559316 8.20297072 7.48491338 7.4149403  6.71172526 6.42448731
 6.81418483 6.27541359 5.56115322 5.68235497 6.55217747 5.94725215]","[1.73474471 1.92361964 1.76275051 1.75543074 1.91195334 1.78487011
 2.01956691 2.17067233 2.27958458 1.98406627 1.96750073 1.95172328
 2.14189897 2.10449637 2.01288944 2.00349692 1.90385604 1.86011683
 1.91900644 1.83663939 1.7158055  1.73736575 1.87979743 1.78292929]",[10 10 10 ... 10 10 10]
8,"[ 0.50104577  0.32747904  0.33938727  0.32630601  0.3730984   1.20943186
  8.00667101 42.97293329 46.65886171 30.92184845  3.93113756 10.10499627
 31.00659671 83.25652758 39.75020897 50.78019463  3.19736197  4.53076633
  3.02176777  2.43868014  1.02334927  1.08458463  0.94009193  0.77835328]","[-0.69105782 -1.11633121 -1.08061342 -1.11991965 -0.9859131   0.19015072
  2.08027507  3.76057046  3.84286287  3.431463    1.36892884  2.31302998
  3.43419998  4.42192654  3.6826151   3.92750641  1.16232609  1.51089109
  1.10584201  0.89145697  0.02308084  0.08119708 -0.06177761 -0.25057477]",11.086756036759333,0.21821298971377304,16.032004529141425,1.3963259594034556,7.069984725885835,-0.6036930545817737,1.5210589593103498,-2.497224985535152,"[5.43230442 5.32328589 6.61493546 5.41912574 5.67243426 5.44300718
 6.0413251  9.31255704 9.16845869 7.12497527 6.9245269  7.07179603
 7.8451189  8.47751149 7.50844841 7.44486123 7.11724521 6.39620447
 6.89789069 6.4889236  4.94061755 5.38217063 5.55489986 5.32499355]","[1.69236343 1.67209076 1.88933004 1.6899345  1.73561835 1.6943317
 1.79862338 2.23136371 2.21576919 1.96360625 1.93506973 1.95611448
 2.05989154 2.13741695 2.01602884 2.00752403 1.96252074 1.85570476
 1.93121567 1.87009666 1.59749033 1.68309176 1.7146804  1.6724115 ]",[10 10 10 ... 10 10 10]
9,"[ 0.31273487  0.36836546  0.27181396  0.29268257  0.40159519  0.91827755
  6.05654579 58.00974293 29.86909712 25.57531178  6.05687319  5.89395445
 54.25471225 39.60330655 41.53721954 48.66352274  5.09007772  3.29337599
  2.55130929  2.36977889  1.90432663  0.75130568  1.29208394  0.71331338]","[-1.1623995  -0.99867974 -1.30263743 -1.22866662 -0.91231069 -0.08525559
  1.80113964  4.06061098  3.3968244   3.2416275   1.80119369  1.77392716
  3.99368985  3.67891261  3.72658988  3.88492973  1.6272931   1.19191318
  0.93660667  0.86279666  0.64412847 -0.28594268  0.25625637 -0.33783443]",9.385822033495737,-0.12299039506663015,16.49548580211436,1.5490348474439963,7.063070924519651,-0.6052060085450722,0.8704710256564281,-3.0899539658356323,"[5.99859777 6.01158649 5.22037355 6.04337653 5.63255129 6.24962136
 7.39510844 8.56053511 9.2904314  6.73321013 6.79008638 7.53299094
 7.70361413 8.40499095 7.55351037 7.61974677 6.99557342 6.43285219
 6.88299599 6.55875974 5.79637584 6.3522236  5.6573073  5.87250606]","[1.79152574 1.79368869 1.65256896 1.79896288 1.7285625  1.83252088
 2.00081876 2.1471627  2.22898499 1.90705202 1.91546366 2.01929217
 2.04168959 2.12882569 2.0220124  2.03074314 1.94527758 1.86141802
 1.92905402 1.88080152 1.75723287 1.84880492 1.73294804 1.77028147]",[10 10 10 ... 10 10 10]
