,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,54234,56892,58507,59349,57755,25522,3420,328,113,1324,2396,1656,492,536,1337,1471,4034,4093,3538,8201,18514,28932,20684,25702
1,5386,2995,1476,645,2204,20834,7901,1223,400,3950,6414,4864,1889,1987,4137,4277,8957,9370,8116,14828,19873,19362,20391,18698
2,357,113,17,6,41,9484,10388,2784,1131,7140,9402,8018,3798,4067,6980,7599,12059,11840,11464,14189,12363,8249,11380,9254
3,23,0,0,0,0,3109,11201,4134,2209,8871,10802,9852,5772,5971,9447,8725,11597,11267,11285,10543,5737,2566,5000,3726
4,0,0,0,0,0,835,9285,5406,3395,9173,9869,9464,7580,7361,9311,9488,9059,9244,9319,6276,2278,648,1712,1577
5,0,0,0,0,0,176,6878,6293,4587,8302,7643,8280,7884,7692,8088,8249,6254,6214,6654,3332,854,178,600,681
6,0,0,0,0,0,24,4620,6136,5248,6917,5340,6271,7473,7771,6633,6826,3761,3694,4255,1526,259,41,167,220
7,0,0,0,0,0,6,2733,6180,5810,5206,3560,4264,6451,6431,5123,4991,2143,2074,2564,674,75,24,46,88
8,0,0,0,0,0,4,1621,5706,5841,3534,2114,3052,5361,5275,3400,3084,1116,1077,1357,255,35,0,15,48
9,0,0,0,0,0,6,928,4956,5723,2271,1196,1790,4056,4010,2242,2001,532,572,731,101,8,0,5,4
10,0,0,0,0,0,0,505,4077,5107,1367,650,1117,3132,2959,1331,1426,311,284,354,44,2,0,0,2
11,0,0,0,0,0,0,257,3311,4294,934,320,588,2154,2195,925,893,106,140,196,16,2,0,0,0
12,0,0,0,0,0,0,163,2661,3766,506,141,347,1452,1370,489,440,51,80,89,9,0,0,0,0
13,0,0,0,0,0,0,51,1913,3181,229,65,211,959,840,255,259,20,38,41,3,0,0,0,0
14,0,0,0,0,0,0,42,2481,4327,200,65,166,1053,978,219,206,0,12,24,3,0,0,0,0
