,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,799333,373183,374216,375290,372049,368247,373332,201980,127739,62754,125148,128135,48580,49377,123821,86244,373607,200995,201840,372875,200427,373873,203949,372651
1,667,153190,153181,153472,153743,151716,152029,160769,134600,86073,132007,132672,70470,69798,133971,104984,152570,159781,161789,154485,161186,153645,161427,153058
2,0,86065,85249,84463,84499,83409,84058,118035,118194,95949,117903,119187,85037,85113,119032,109001,84711,118469,118399,84274,118903,83772,116573,85210
3,0,51805,51622,51446,51495,51486,52065,84605,95255,93391,97343,95573,86588,89781,96293,96729,51254,84441,84567,50458,84788,51204,84819,51201
4,0,33732,33081,33396,33099,33179,33098,59611,75450,86418,75194,76171,85752,85758,76317,84169,32915,60236,60172,33364,60070,33750,60954,33602
5,0,22648,22246,22616,22475,22759,22965,43050,57916,74686,57839,58113,77384,77765,58666,68964,22747,43574,42755,22380,42850,22791,42607,23254
6,0,15979,15823,16287,15853,16118,16348,30952,44449,62682,44463,44770,68135,66863,45189,55087,16292,31921,30627,16123,31776,16281,30828,16278
7,0,11896,11638,11943,12061,11808,12330,22702,33899,51003,33931,34034,57511,56288,33551,43145,11710,23244,22728,11747,22954,12075,23287,11963
8,0,8820,9014,9148,9116,9099,9138,17152,25766,40395,26583,25754,46654,46158,26018,34067,8929,17431,17309,8670,16895,8972,16705,9057
9,0,6901,6789,6714,7011,6945,6980,12755,19756,32332,19571,19179,37815,37424,19689,26224,6796,12728,12589,7095,12943,6860,12755,6945
10,0,5401,5203,5435,5662,5527,5749,9705,14528,25666,15298,14681,30261,30182,14780,20268,5485,9851,9808,5299,9516,5491,9383,5558
11,0,4528,4270,4345,4248,4564,4421,7382,11539,20045,11666,11215,23934,23290,11245,15971,4447,7375,7228,4169,7335,4363,7294,4296
12,0,3504,3511,3315,3541,3638,3462,5576,8506,15198,8817,8574,18182,18639,8744,12571,3647,5864,5695,3537,5664,3486,5517,3522
13,0,2826,2891,2806,2873,3065,2981,4561,6436,11793,6871,6551,14165,14231,6771,9212,2891,4504,4524,2779,4475,2899,4282,2920
14,0,4388,4453,4484,4258,4813,4438,6378,9078,16146,9521,8913,19346,19671,9165,12561,4545,6287,6055,4298,6190,4505,6136,4490
