,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,192,199,204,207,203,77,14,2,0,4,6,8,0,0,6,6,8,13,7,22,60,103,68,98
1,16,9,5,2,6,95,31,14,3,7,13,5,9,4,10,13,35,32,22,60,80,67,77,43
2,1,1,0,0,0,28,27,10,6,21,30,22,7,14,27,21,40,32,43,43,38,24,40,38
3,0,0,0,0,0,7,37,10,4,33,44,42,11,13,22,29,44,48,49,50,20,12,18,24
4,0,0,0,0,0,1,29,8,8,37,39,36,35,22,35,37,34,37,26,19,9,2,3,6
5,0,0,0,0,0,1,29,13,9,37,32,32,29,34,32,33,24,24,30,12,1,1,3,0
6,0,0,0,0,0,0,20,15,17,24,23,28,27,33,32,28,12,7,16,0,1,0,0,0
7,0,0,0,0,0,0,12,26,17,17,7,20,36,37,23,18,6,12,11,2,0,0,0,0
8,0,0,0,0,0,0,6,28,27,16,11,7,18,15,15,12,3,3,4,1,0,0,0,0
9,0,0,0,0,0,0,2,21,21,8,4,5,13,19,5,8,3,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1,22,20,3,0,2,14,8,1,2,0,1,1,0,0,0,0,0
11,0,0,0,0,0,0,0,16,21,0,0,2,3,6,1,2,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,6,19,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,1,8,11,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,8,17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
