,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,34150,38136,39244,39990,37525,14200,1849,224,24,643,1410,870,157,146,540,670,2073,2874,2971,4503,11504,18712,13602,17817
1,5215,1617,691,10,2357,14172,5033,851,176,2198,4159,2980,756,751,1757,2218,5759,6606,6392,9046,13062,13259,12940,13171
2,548,125,46,0,106,7703,7553,1696,461,4488,6669,5296,1677,1925,3883,4399,8161,8584,7992,9377,8690,5595,7447,5920
3,61,14,4,0,12,2709,8046,2553,1101,5987,7764,7089,3131,3362,5262,6059,8227,8025,7542,7197,4126,1779,3654,2098
4,22,11,9,0,0,916,6540,3308,1852,6729,6962,7071,4241,4983,5936,6395,6535,5995,5882,4676,1716,469,1537,716
5,4,8,5,0,0,239,4673,4124,2795,6321,5145,5813,5166,5783,6174,5778,4194,3645,3950,2701,599,150,520,192
6,0,4,1,0,0,57,2963,4127,3563,4884,3527,4275,5158,5760,5009,4885,2434,2171,2438,1307,202,36,182,55
7,0,4,0,0,0,4,1597,4064,4133,3556,2103,2808,4950,5058,4087,3488,1403,1052,1316,694,61,0,73,23
8,0,2,0,0,0,0,847,3735,4422,2293,1159,1785,4257,4096,2744,2489,700,579,760,299,27,0,25,5
9,0,5,0,0,0,0,441,3266,4100,1374,541,1014,3422,3048,1936,1449,307,284,389,153,11,0,15,3
10,0,6,0,0,0,0,246,2912,3670,757,285,518,2471,1985,1152,891,135,106,194,26,2,0,4,0
11,0,6,0,0,0,0,103,2335,3467,369,163,262,1724,1292,690,573,38,47,76,16,0,0,1,0
12,0,16,0,0,0,0,56,1758,2798,188,79,150,1169,768,446,299,27,21,39,4,0,0,0,0
13,0,15,0,0,0,0,35,1299,2209,131,25,41,678,503,189,196,6,6,25,0,0,0,0,0
14,0,19,0,0,0,0,14,1816,2784,67,4,24,703,394,163,157,1,5,22,1,0,0,0,0
