,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,34600,38531,39167,39083,37499,14545,2015,322,31,598,1290,924,172,129,636,775,2127,3242,3530,4886,12871,20131,15075,19100
1,4542,1300,743,681,2228,13928,5406,989,172,2204,4110,3032,791,672,2251,2381,5761,6721,6714,8791,12449,12446,11758,11830
2,744,108,51,94,196,7508,7910,2062,496,4512,7168,5375,1843,2054,3963,4388,8106,8484,7823,9139,7804,5128,6707,5359
3,110,28,22,65,44,2852,7395,2597,1055,6398,7700,6762,3121,3462,5418,6243,7839,7836,7397,7041,3969,1668,3246,2300
4,4,11,10,34,23,887,6417,3430,1875,6879,6787,7057,4367,4982,5895,6315,6342,5733,5514,4654,1695,405,1710,868
5,0,15,4,18,8,220,4489,3738,2550,6041,5160,5822,5053,5483,5844,5731,4378,3596,3811,2649,652,156,713,316
6,0,4,1,21,2,55,2873,3848,3350,4994,3493,4370,5005,5686,4818,4661,2608,2126,2186,1495,296,47,363,124
7,0,3,2,3,0,3,1672,3788,4245,3488,2069,2765,4909,5058,3940,3367,1551,1172,1373,705,154,13,197,51
8,0,0,0,1,0,2,896,3706,4331,2103,1158,1847,4050,4105,2711,2297,725,591,806,357,65,6,107,36
9,0,0,0,0,0,0,415,3029,4309,1337,555,1062,3173,2952,1685,1444,264,284,432,151,30,0,53,6
10,0,0,0,0,0,0,249,2675,3934,746,262,489,2534,2158,1160,954,159,119,175,66,11,0,33,8
11,0,0,0,0,0,0,136,2273,3417,367,115,255,1788,1337,675,630,82,49,105,40,4,0,22,0
12,0,0,0,0,0,0,78,1798,2782,159,70,126,1191,854,409,336,40,28,37,25,0,0,6,2
13,0,0,0,0,0,0,32,1371,2097,91,28,52,738,478,254,206,8,13,43,1,0,0,2,0
14,0,0,0,0,0,0,9,1947,2834,69,22,40,828,382,261,194,6,4,34,0,0,0,8,0
