,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,34454,38409,39276,39152,37774,14426,1264,17,8,436,931,538,47,69,241,357,1571,2155,1903,3465,10316,18202,11816,16237
1,5066,1535,710,845,2140,14304,4722,98,28,1744,3446,2495,294,453,1136,1541,5213,5970,5675,8845,13988,14180,13803,14552
2,449,54,14,3,72,7559,7627,480,177,4073,6628,5242,1161,1472,2902,3878,8493,8900,8847,10239,9325,5734,8970,6687
3,31,2,0,0,14,2749,8681,1339,551,6169,8166,7146,2580,3086,5557,5956,8716,8647,8772,8194,4310,1458,3805,1956
4,0,0,0,0,0,719,7331,2463,1040,7302,7578,7518,3865,4808,6896,7429,7088,6786,6659,5104,1435,380,1203,455
5,0,0,0,0,0,196,5061,3897,2101,6695,6066,6555,5463,6219,7099,6952,4593,3989,4293,2511,466,36,327,91
6,0,0,0,0,0,31,2722,4837,3229,5513,3584,4719,6206,6376,5932,5497,2422,2051,2193,1037,130,6,69,17
7,0,0,0,0,0,6,1520,5792,4217,3630,1986,2888,5926,5650,4176,3748,1203,891,1039,443,16,4,6,5
8,0,0,0,0,0,9,682,5533,5015,2251,923,1626,4993,4310,2761,2298,480,431,407,126,4,0,1,0
9,0,0,0,0,0,1,286,4793,5240,1149,419,668,3571,3083,1717,1285,142,134,118,25,10,0,0,0
10,0,0,0,0,0,0,87,3733,4807,602,157,365,2475,1977,870,580,56,28,76,4,0,0,0,0
11,0,0,0,0,0,0,16,2867,4103,269,85,146,1544,1293,450,309,21,16,13,2,0,0,0,0
12,0,0,0,0,0,0,0,1820,3207,113,19,67,912,684,173,104,1,2,5,5,0,0,0,0
13,0,0,0,0,0,0,1,1126,2391,39,6,14,499,263,55,48,1,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,910,2586,15,6,9,378,237,33,18,0,0,0,0,0,0,0,0
