,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,721488,758909,778748,791368,770373,339825,43432,4516,1324,17218,30613,21120,6912,6846,17802,19304,51972,54220,45713,111767,248056,385468,274738,342416
1,73326,39340,20801,8492,28741,274989,104684,16768,5675,53889,83368,63898,24811,25913,53962,57758,122291,124573,110764,194984,266788,261293,269822,247973
2,4869,1640,410,133,853,126412,142948,34732,15133,92728,126374,107312,52669,53606,94577,98739,159497,161921,152312,192163,164761,106343,153992,123542
3,294,104,21,7,25,42874,145467,55823,28692,120081,142382,130180,78677,80458,121092,123187,154016,153627,151042,139679,76189,34413,66826,53080
4,21,6,4,0,8,12159,124076,72099,44194,125129,129983,127748,97409,99608,124920,125928,120238,120250,123915,82718,30026,9278,23988,20481
5,2,1,5,0,0,2907,91458,82841,58938,112143,103488,110756,103615,105513,112918,113008,83079,80809,88265,43396,9854,2385,7626,7909
6,0,0,3,0,0,667,62387,86455,69953,90886,73513,84832,99914,100182,89540,86434,50759,49829,57271,20671,3092,609,2195,2938
7,0,0,4,0,0,125,37953,83976,77729,67155,46519,59714,86774,87013,66576,63143,28954,27612,33674,8792,856,159,625,1053
8,0,0,2,0,0,38,22021,76016,77574,46940,28521,38579,71859,71339,46031,44018,15004,14133,18537,3598,252,33,144,427
9,0,0,2,0,0,3,12200,66085,75283,29512,16542,24261,55020,53983,29518,28453,7651,7084,9545,1407,87,8,30,118
10,0,0,0,0,0,1,6518,54521,68062,19169,9085,14258,41064,39381,18377,17270,3530,3211,4698,540,25,3,10,43
11,0,0,0,0,0,0,3421,43755,59746,11177,4855,8042,28767,27400,10807,10174,1740,1520,2322,185,8,3,2,11
12,0,0,0,0,0,0,1795,34369,50540,6436,2321,4426,19165,18213,6438,5768,733,717,1083,62,2,0,2,6
13,0,0,0,0,0,0,915,25719,41524,3561,1267,2367,12520,12193,3561,3207,293,259,479,30,4,5,0,0
14,0,0,0,0,0,0,574,32507,57958,2879,885,1890,13266,12016,2882,2739,223,198,325,8,0,0,0,3
