,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,34039,38096,38884,39988,37197,14692,1844,258,23,587,1245,837,136,182,518,666,2135,2845,2851,4470,11417,18768,13376,17825
1,5356,1818,1054,12,2616,13897,5147,712,134,2241,4031,3092,678,840,1843,2316,5714,6605,6086,8255,13491,13739,13009,13406
2,557,55,42,0,180,7373,7269,1633,470,4634,6659,5659,1800,2077,3673,4302,8010,8370,8234,9919,8583,5400,7788,6041
3,48,10,9,0,4,2828,7925,2452,1015,6102,7357,6754,2971,3632,5235,5959,8091,8075,7732,7732,4124,1500,3699,2014
4,0,10,4,0,3,889,6585,3346,1770,6771,6894,6816,4208,4780,6266,6560,6308,6180,6201,4714,1592,448,1374,544
5,0,3,0,0,0,259,4652,3804,2672,6164,5517,5835,5075,5708,5990,6129,4525,3855,4215,2652,518,105,470,131
6,0,5,0,0,0,57,3045,4234,3552,4947,3716,4363,5480,5646,5158,4732,2555,2120,2288,1276,177,38,157,30
7,0,2,2,0,0,5,1672,4164,4092,3442,2270,2908,4958,4973,3841,3565,1472,1075,1213,574,62,1,86,9
8,0,1,0,0,0,0,903,3915,4479,2261,1169,1651,4198,3758,2904,2377,686,511,592,258,20,1,26,0
9,0,0,3,0,0,0,492,3442,4236,1282,612,1030,3223,3029,1879,1506,265,181,293,97,6,0,14,0
10,0,0,1,0,0,0,250,2867,3800,753,274,533,2474,2059,1253,869,120,105,182,30,0,0,1,0
11,0,0,0,0,0,0,128,2320,3521,403,142,278,1724,1336,628,492,68,33,64,18,4,0,0,0
12,0,0,0,0,0,0,52,1805,2797,179,58,130,1109,874,352,240,36,27,30,5,1,0,0,0
13,0,0,1,0,0,0,27,1397,2190,102,28,60,840,530,219,112,13,14,10,0,5,0,0,0
14,0,0,0,0,0,0,9,1881,2838,86,21,40,812,424,181,121,2,3,7,0,0,0,0,0
