,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,3388,3880,3890,3993,3785,1381,126,3,0,26,119,31,0,4,31,31,127,154,166,382,1058,1735,1146,1704
1,552,120,110,7,207,1458,461,28,3,149,341,202,57,46,134,176,502,582,473,942,1440,1407,1498,1431
2,52,0,0,0,8,817,742,63,7,364,527,439,143,184,354,380,832,856,855,1058,863,606,902,597
3,8,0,0,0,0,219,846,129,30,575,842,730,275,287,560,589,882,889,904,774,418,203,310,207
4,0,0,0,0,0,80,683,308,87,684,823,819,373,478,641,726,710,647,725,502,161,39,100,50
5,0,0,0,0,0,37,478,451,181,757,650,744,524,600,663,663,489,450,441,251,39,10,24,11
6,0,0,0,0,0,4,320,491,313,591,337,543,592,651,572,635,256,253,219,80,21,0,20,0
7,0,0,0,0,0,4,193,552,487,357,223,271,598,566,472,401,112,108,123,11,0,0,0,0
8,0,0,0,0,0,0,107,583,554,235,83,139,409,426,261,205,60,45,55,0,0,0,0,0
9,0,0,0,0,0,0,36,459,538,139,38,57,301,282,191,101,30,10,34,0,0,0,0,0
10,0,0,0,0,0,0,8,322,459,71,17,16,252,198,67,38,0,6,5,0,0,0,0,0
11,0,0,0,0,0,0,0,247,397,39,0,9,199,114,22,26,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,145,335,9,0,0,145,69,18,20,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,98,239,4,0,0,66,35,11,9,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,104,192,0,0,0,61,47,3,0,0,0,0,0,0,0,0,0
