,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,36,40,0,0,41,17,7,2,1,2,4,3,2,1,2,1,2,3,3,8,12,19,21,24
1,0,0,0,0,0,0,0,5,1,2,0,4,3,6,0,0,6,0,0,0,0,0,0,0
2,0,0,0,0,0,0,3,4,3,3,1,0,0,0,4,5,0,9,7,0,0,0,0,0
3,0,0,0,0,0,0,0,2,1,8,0,7,2,3,0,0,7,0,0,0,0,0,0,0
4,0,0,0,0,0,0,5,1,2,10,9,5,8,9,11,6,0,5,10,13,16,18,0,0
5,0,0,0,0,0,16,0,2,1,11,0,0,0,0,0,0,7,0,0,0,0,0,13,12
6,0,0,0,0,0,0,12,1,4,2,13,6,9,10,5,6,0,13,8,0,0,0,0,0
7,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
8,4,1,42,42,0,0,5,6,5,2,0,5,6,6,8,0,3,3,0,4,8,3,0,0
9,0,0,0,0,0,0,0,2,1,1,6,5,4,2,0,4,0,0,6,0,0,0,0,0
10,0,0,0,0,0,7,6,8,4,0,0,0,0,0,3,0,3,3,0,0,0,0,5,2
11,0,0,0,0,0,0,0,0,3,0,7,5,3,1,0,6,0,0,3,0,0,0,0,0
12,0,0,0,0,0,0,3,1,5,0,0,0,1,2,4,0,2,0,0,12,4,1,0,0
13,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,10,0,0,3,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,0,0,4,0,0,0,0,0,0
15,2,1,0,0,1,2,1,1,2,1,1,1,1,1,2,4,2,2,2,5,2,1,3,4
