,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,32482,36980,39898,39054,38052,17814,11071,7107,2776,5400,3058,6478,2774,3702,7416,5754,8093,10324,10844,7853,13119,19849,19673,21849
1,0,0,25,844,1764,0,8292,12079,5901,5954,6478,6354,8499,4523,6987,6113,7326,7722,8198,11199,13107,12778,0,11620
2,0,2715,2,30,0,13671,7033,6923,7805,6666,8105,6450,11009,11416,7255,6715,12901,12367,7412,9223,0,0,12657,4382
3,6341,0,2,11,133,0,5302,7156,7815,11094,7284,10855,4675,5378,6040,6257,4244,3753,5321,0,7989,5069,0,0
4,0,0,4,7,0,5674,3444,3495,5860,3894,5701,3439,6617,4598,4433,4906,4895,3888,3601,5877,3638,0,5117,1445
5,0,245,4,2,18,0,2156,1376,5757,2617,4042,2401,3676,5995,5127,3887,1169,832,2141,3208,0,1651,0,471
6,1003,0,8,6,0,1973,1212,1044,1962,2973,2512,2542,1664,1597,1165,2382,990,785,1133,0,1328,0,1804,139
7,0,0,12,14,4,0,689,365,1126,601,1357,598,420,1056,696,1582,146,127,619,1487,0,509,0,0
8,0,38,10,5,5,608,369,265,527,353,720,352,442,1143,391,1632,174,84,541,684,535,111,0,48
9,150,0,4,11,0,0,219,122,264,318,380,343,148,301,228,350,29,80,85,0,213,0,529,22
10,0,10,5,6,8,198,112,25,124,71,175,69,47,220,186,231,22,13,65,278,0,29,0,6
11,0,0,4,7,0,0,49,24,51,22,104,57,12,27,37,92,3,13,20,99,56,0,147,0
12,21,0,8,1,8,35,37,9,14,27,45,39,8,26,9,54,4,6,3,0,7,2,0,5
13,0,9,4,0,0,0,5,7,8,2,30,8,4,10,9,26,0,4,8,48,0,0,58,3
14,0,0,6,1,6,24,7,1,2,2,6,5,2,1,8,16,3,1,0,29,3,1,0,9
15,3,3,4,1,2,3,3,2,8,6,3,10,3,7,13,3,1,1,9,15,5,1,15,1
